,,Sales Mix Report,,,,,
"LPTN PR LF SWT TEA 18.5P,  Each",$2.19 ,30,$65.70 ,0.02%,$0.00 ,$0.00 ,$65.70 
"LPTN PR LF UNSWTND 18.5PL,  Each",$2.19 ,11,$24.09 ,0.01%,$0.00 ,$0.00 ,$24.09 
"PEACE TEA GEORGIA PCH 23C,  Each",$1.69 ,18,$30.42 ,0.01%,$0.00 ,$0.00 ,$30.42 
"PEACE TEA RAZZLEBERRY 23C,  Each",$1.69 ,9,$15.21 ,0.01%,$0.00 ,$0.00 ,$15.21 
"SNPL PEACH TEA 16PL,  Each",$1.59 ,3,$4.77 ,0.00%,$0.00 ,$0.00 ,$4.77 
"SNPL PEACH TEA 32 PL,  Each",$2.29 ,17,$38.93 ,0.01%,$0.00 ,$0.00 ,$38.93 
RTD TEA Subtotal, ,197,$348.83 ,0.12%,$0.00 ,$0.00 ,$348.83 
SPORT/ISOTONIC DRINK, , , , , , , 
"BODYARMR ORN MNG 28PL,  Each",$2.69 ,14,$37.66 ,0.01%,$0.00 ,$0.00 ,$37.66 
"BODYARMR STRW BAN 28PL,  Each",$2.69 ,11,$29.59 ,0.01%,$0.00 ,$0.00 ,$29.59 
"ELECTROLIT ORN 21PL,  Each",$3.09 ,29,$89.61 ,0.03%,$0.00 ,$0.00 ,$89.61 
"GATR CL BLUE RZBRY 20 PL,  Each",$1.79 ,26,$46.54 ,0.02%,$0.00 ,$0.00 ,$46.54 
"GATR COOL BLU RZBRY 28PL,  Each",$2.59 ,25,$64.75 ,0.02%,$10.08 ,$0.00 ,$54.67 
"GATR EDGE CL BL RZBRY 24,  Each",$2.19 ,27,$59.13 ,0.02%,$0.00 ,$0.00 ,$59.13 
"GATR EDGE FRT PNCH 24 PL,  Each",$2.19 ,12,$26.28 ,0.01%,$0.00 ,$0.00 ,$26.28 
"GATR EDGE LMNLIM 24 PL,  Each",$2.19 ,14,$30.66 ,0.01%,$0.00 ,$0.00 ,$30.66 
"GATR FIERCE BLU CHRY 28P,  Each",$2.59 ,32,$82.88 ,0.03%,$7.72 ,$0.00 ,$75.16 
"GATR FIERCE GRN APPL 28P,  Each",$2.59 ,12,$31.08 ,0.01%,$1.79 ,$0.00 ,$29.29 
"GATR FIERCE STRW 28PL,  Each",$2.59 ,18,$46.62 ,0.02%,$5.35 ,$0.00 ,$41.27 
"GATR FRST ARC BLTZ 28PL,  Each",$2.59 ,10,$25.90 ,0.01%,$4.74 ,$0.00 ,$21.16 
"GATR FRST GLCR FRZ 28PL,  Each",$2.59 ,22,$56.98 ,0.02%,$11.30 ,$0.00 ,$45.68 
"GATR FRST GLCR FRZE 20 PL,  Each",$1.79 ,12,$21.48 ,0.01%,$0.00 ,$0.00 ,$21.48 
"GATR FRT PNCH 20 PL,  Each",$1.79 ,11,$19.69 ,0.01%,$0.00 ,$0.00 ,$19.69 
"GATR FRT PNCH 28PL,  Each",$2.59 ,25,$64.75 ,0.02%,$12.54 ,$0.00 ,$52.21 
"GATR FRT PNCH 64 PL,  Each",$3.19 ,25,$79.75 ,0.03%,$0.00 ,$0.00 ,$79.75 
"GATR LIME CUCMBR 28PL,  Each",$2.59 ,38,$98.42 ,0.03%,$17.88 ,$0.00 ,$80.54 
"GATR LMN LIM 28PL,  Each",$2.59 ,59,$152.81 ,0.05%,$25.56 ,$0.00 ,$127.25 
"GATR LMNLIM 20 PL,  Each",$1.79 ,19,$34.01 ,0.01%,$0.00 ,$0.00 ,$34.01 
"GATR LMNLIM 64 PL,  Each",$3.19 ,22,$70.18 ,0.02%,$0.00 ,$0.00 ,$70.18 
"GATR ORN 20 PL,  Each",$1.79 ,24,$42.96 ,0.02%,$0.00 ,$0.00 ,$42.96 
"GATR ORN 28PL,  Each",$2.59 ,64,$165.76 ,0.06%,$26.20 ,$0.00 ,$139.56 
"GATR ZRO LMN LIM 28PL,  Each",$2.59 ,18,$46.62 ,0.02%,$5.36 ,$0.00 ,$41.26 
"POWERADE FRT PNCH 28PL,  Each",$2.49 ,1,$2.49 ,0.00%,$0.00 ,$0.00 ,$2.49 
"POWERADE FRT PNCH 32PL,  Each",$2.49 ,3,$7.47 ,0.00%,$0.00 ,$0.00 ,$7.47 
"POWERADE MTN BLST 28PL,  Each",$2.49 ,15,$37.35 ,0.01%,$0.00 ,$0.00 ,$37.35 
"POWERADE ULT MX BRY 20PL,  Each",$2.09 ,1,$2.09 ,0.00%,$0.00 ,$0.00 ,$2.09 
SPORT/ISOTONIC DRINK Subtotal, ,589,"$1,473.51 ",0.52%,$128.52 ,$0.00 ,"$1,344.99 "
SPRING WATER, , , , , , , 
"ARRWHD 700ML PL,  Each",$1.49 ,5,$7.45 ,0.00%,$0.00 ,$0.00 ,$7.45 
"ARRWHD MT SPG WTR 1 GA PL,  Each",$2.49 ,40,$99.60 ,0.03%,$0.00 ,$0.00 ,$99.60 
"ARRWHD MT SPG WTR 1.5L PL,  Each",$1.99 ,24,$47.76 ,0.02%,$0.00 ,$0.00 ,$47.76 
"ARRWHD MT SPG WTR 1L PL,  Each",$1.69 ,4,$6.76 ,0.00%,$0.00 ,$0.00 ,$6.76 
"ARRWHD MT SPG WTR 20PL,  Each",$1.39 ,8,$11.12 ,0.00%,$0.00 ,$0.00 ,$11.12 
"FIJI WATER .5 LTR,  Each",$1.89 ,22,$41.58 ,0.01%,$0.00 ,$0.00 ,$41.58 
"FIJI WATER 1 LTR,  Each",$2.99 ,22,$65.78 ,0.02%,$7.45 ,$0.00 ,$58.33 
"FIJI WATER 1.5 LTR,  Each",$3.19 ,20,$63.80 ,0.02%,$0.00 ,$0.00 ,$63.80 
"FIJI WATER 700ML PL,  Each",$2.69 ,11,$29.59 ,0.01%,$0.00 ,$0.00 ,$29.59 
SPRING WATER Subtotal, ,156,$373.44 ,0.13%,$7.45 ,$0.00 ,$365.99 
PKGD NON-ALCOHOLIC BEVERAGES Subtotal, ,"5,652","$15,248.48 ",5.35%,"$1,559.60 ",$4.18 ,"$13,684.70 "
BEVERAGES Subtotal, ,"7,817","$26,773.88 ",9.40%,"$1,590.20 ",$13.66 ,"$25,170.02 "
FOOD SERVICE, , , , , , , 
FRESH DELIVERED FOOD SERVICE, , , , , , , 
CAKE/PIE (FRESH), , , , , , , 
"NEMOS CAKE STRWBRRY 3OZ,  Each",$1.99 ,4,$7.96 ,0.00%,$0.00 ,$0.00 ,$7.96 
CAKE/PIE (FRESH) Subtotal, ,4,$7.96 ,0.00%,$0.00 ,$0.00 ,$7.96 
HISPANIC (FRESH), , , , , , , 
"DM BUR BEEF/BN SPICY 10OZ,  Each",$2.69 ,9,$24.21 ,0.01%,$0.00 ,$0.00 ,$24.21 
"DM BUR BF/BN GRN CHL 10OZ,  Each",$2.69 ,10,$26.90 ,0.01%,$0.00 ,$0.00 ,$26.90 
"DM BUR BMB BFBN GRNCHL 14,  Each",$3.99 ,4,$15.96 ,0.01%,$0.00 ,$0.00 ,$15.96 
HISPANIC (FRESH) Subtotal, ,23,$67.07 ,0.02%,$0.00 ,$0.00 ,$67.07 
HOT DOGS/HAMBURGERS/SANDWICHES (FRESH), , , , , , , 
"JHNSVL ANDSCR WRAP 5.5Z,  Each",$3.99 ,5,$19.95 ,0.01%,$0.00 ,$0.00 ,$19.95 
HOT DOGS/HAMBURGERS/SANDWICHES (FRESH) Subtotal, ,5,$19.95 ,0.01%,$0.00 ,$0.00 ,$19.95 
OTHER FRESH DELIVERED FOOD SERVICE, , , , , , , 
"ALMARK HRD BLD EGGS 2CT,  Each",$1.39 ,12,$16.68 ,0.01%,$0.00 ,$0.00 ,$16.68 
"HILL HOTCAL SLMI CH 2.76Z,  Each",$3.79 ,14,$53.06 ,0.02%,$0.90 ,$0.00 ,$52.16 
"HILL ITLN SLMI CHS 2.76Z,  Each",$3.79 ,19,$72.01 ,0.03%,$0.00 ,$0.00 ,$72.01 
"LNCHBL HAM SWISS 3.2Z,  Each",$2.99 ,9,$26.91 ,0.01%,$0.00 ,$0.00 ,$26.91 
"LNCHBL TRKY CHDR 3.2Z,  Each",$2.99 ,20,$59.80 ,0.02%,$0.00 ,$0.00 ,$59.80 
OTHER FRESH DELIVERED FOOD SERVICE Subtotal, ,74,$228.46 ,0.08%,$0.90 ,$0.00 ,$227.56 
OTHER FRESH DELIVERED HOT FOODS, , , , , , , 
"BIG AZ 2X SSG CHS BSCT,  Each",$2.99 ,20,$59.80 ,0.02%,$0.00 ,$0.00 ,$59.80 
"BIG AZ BBQ RACK O RIBS,  Each",$3.99 ,3,$11.97 ,0.00%,$0.00 ,$0.00 ,$11.97 
"BIG AZ BCN ADCT CHSBRGR,  Each",$3.99 ,10,$39.90 ,0.01%,$0.00 ,$0.00 ,$39.90 
"BIG AZ CHSBRGR,  Each",$3.99 ,12,$47.88 ,0.02%,$0.00 ,$0.00 ,$47.88 
"BIG AZ SRIRACHA CHKN,  Each",$3.99 ,10,$39.90 ,0.01%,$0.00 ,$0.00 ,$39.90 
"HOT POCKET HAM & CHS 8OZ,  Each",$3.59 ,4,$14.36 ,0.01%,$0.00 ,$0.00 ,$14.36 
"HOT POCKET PEPPERONI 8OZ,  Each",$3.59 ,4,$14.36 ,0.01%,$0.00 ,$0.00 ,$14.36 
OTHER FRESH DELIVERED HOT FOODS Subtotal, ,63,$228.17 ,0.08%,$0.00 ,$0.00 ,$228.17 
OTHER FRESH DELIVERED SANDWICHES, , , , , , , 
"CHSWCH CHDR SLMI 2.5Z,  Each",$2.59 ,20,$51.80 ,0.02%,$0.00 ,$0.00 ,$51.80 
"CHSWCH PPRJCK SLMI 2.5Z,  Each",$2.59 ,2,$5.18 ,0.00%,$0.00 ,$0.00 ,$5.18 
"IDI BB ESL CRSSNT HAM CHD,  Each",$5.99 ,4,$23.96 ,0.01%,$0.00 ,$0.00 ,$23.96 
"IDI BB ESL CRSSNT TRKY CH,  Each",$5.99 ,3,$17.97 ,0.01%,$0.00 ,$0.00 ,$17.97 
"IDI BB ESL SPCY TUNA DRK,  Each",$3.99 ,3,$11.97 ,0.00%,$0.00 ,$0.00 ,$11.97 
"IDI BB ESL SUB HAM CHDR,  Each",$5.99 ,5,$29.95 ,0.01%,$0.00 ,$0.00 ,$29.95 
"IDI BB ESL SUB ORIGINAL,  Each",$5.99 ,4,$23.96 ,0.01%,$0.00 ,$0.00 ,$23.96 
"IDI BB ESL SUB TRKY BACON,  Each",$5.99 ,6,$35.94 ,0.01%,$0.00 ,$0.00 ,$35.94 
"IDI BB ESL TRI CHCKN SLD,  Each",$3.99 ,14,$55.86 ,0.02%,$5.74 ,$0.00 ,$50.12 
"IDI BB ESL TRI EGG SALAD,  Each",$3.99 ,12,$47.88 ,0.02%,$3.76 ,$0.00 ,$44.12 
"IDI BB ESL TRI HAM CHDR,  Each",$3.99 ,11,$43.89 ,0.02%,$3.76 ,$0.00 ,$40.13 
"IDI BB ESL TRI ITALIAN,  Each",$3.99 ,8,$31.92 ,0.01%,$3.46 ,$0.00 ,$28.46 
"IDI BB ESL TRI TRKY CHDR,  Each",$3.99 ,15,$59.85 ,0.02%,$1.88 ,$0.00 ,$57.97 
"IDI BB ESL TRI TUNA SALAD,  Each",$3.99 ,14,$55.86 ,0.02%,$1.78 ,$0.00 ,$54.08 
"IDI ESL RSTBF & CHD PRTZL,  Each",$5.99 ,10,$59.90 ,0.02%,$0.00 ,$0.00 ,$59.90 
OTHER FRESH DELIVERED SANDWICHES Subtotal, ,131,$555.89 ,0.20%,$20.38 ,$0.00 ,$535.51 
WRAP (FRESH), , , , , , , 
"HILLSHIRE CHCKN CSR WRAP,  Each",$5.99 ,1,$5.99 ,0.00%,$0.00 ,$0.00 ,$5.99 
"HILLSHIRE SW TRKY WRAP,  Each",$5.99 ,1,$5.99 ,0.00%,$0.00 ,$0.00 ,$5.99 
WRAP (FRESH) Subtotal, ,2,$11.98 ,0.00%,$0.00 ,$0.00 ,$11.98 
FRESH DELIVERED FOOD SERVICE Subtotal, ,302,"$1,119.48 ",0.39%,$21.28 ,$0.00 ,"$1,098.20 "
FOOD SERVICE Subtotal, ,302,"$1,119.48 ",0.39%,$21.28 ,$0.00 ,"$1,098.20 "
FUEL PRODUCTS, , , , , , , 
MOTOR FUEL, , , , , , , 
DIESEL, , , , , , , 
"CHV Diesel,Self Serve,Cash",$2.96 ,"7,299","$21,598.41 ",7.58%,$0.00 ,$0.00 ,"$21,598.41 "
DIESEL Subtotal, ,"7,299","$21,598.41 ",7.58%,$0.00 ,$0.00 ,"$21,598.41 "
HIGH - GRADE, , , , , , , 
"CHV Supreme,Self Serve,Cash",$3.18 ,"1,607","$5,107.64 ",1.79%,$0.00 ,$0.00 ,"$5,107.64 "
"CHV Supreme,Self Serve,Cash",$3.24 ,"1,026","$3,323.58 ",1.17%,$0.00 ,$0.00 ,"$3,323.58 "
"CHV Supreme,Self Serve,Cash",$3.28 ,13,$42.41 ,0.01%,$0.00 ,$0.00 ,$42.41 
"CHV Supreme,Self Serve,Cash",$3.28 ,"11,672","$38,273.65 ",13.43%,$0.00 ,$0.00 ,"$38,273.65 "
HIGH - GRADE Subtotal, ,"14,318","$46,747.28 ",16.41%,$0.00 ,$0.00 ,"$46,747.28 "
MID - GRADE, , , , , , , 
"CHV Plus ? Blended 41-59,Self Serve,Cash",$3.04 ,629,"$1,910.75 ",0.67%,$0.00 ,$0.00 ,"$1,910.75 "
"CHV Plus ? Blended 41-59,Self Serve,Cash",$3.09 ,0,$0.25 ,0.00%,$0.00 ,$0.00 ,$0.25 
"CHV Plus ? Blended 41-59,Self Serve,Cash",$3.10 ,506,"$1,569.57 ",0.55%,$0.00 ,$0.00 ,"$1,569.57 "
"CHV Plus ? Blended 41-59,Self Serve,Cash",$3.14 ,1,$2.80 ,0.00%,$0.00 ,$0.00 ,$2.80 
"CHV Plus ? Blended 41-59,Self Serve,Cash",$3.14 ,"4,279","$13,430.71 ",4.71%,$0.00 ,$0.00 ,"$13,430.71 "
MID - GRADE Subtotal, ,"5,415","$16,914.08 ",5.94%,$0.00 ,$0.00 ,"$16,914.08 "
REGULAR - GRADE, , , , , , , 
"CHV Unleaded,Self Serve,Cash",$2.90 ,8,$22.19 ,0.01%,$0.00 ,$0.00 ,$22.19 
"CHV Unleaded,Self Serve,Cash",$2.90 ,"4,722","$13,688.64 ",4.80%,$0.00 ,$55.99 ,"$13,632.65 "
"CHV Unleaded,Self Serve,Cash",$2.90 ,12,$34.48 ,0.01%,$0.00 ,$0.00 ,$34.48 
"CHV Unleaded,Self Serve,Cash",$2.96 ,"2,559","$7,570.57 ",2.66%,$0.00 ,$0.00 ,"$7,570.57 "
"CHV Unleaded,Self Serve,Cash",$2.96 ,7,$19.75 ,0.01%,$0.00 ,$0.00 ,$19.75 
"CHV Unleaded,Self Serve,Cash",$3.00 ,3,$9.10 ,0.00%,$0.00 ,$0.00 ,$9.10 
"CHV Unleaded,Self Serve,Cash",$3.00 ,55,$164.34 ,0.06%,$0.00 ,$0.00 ,$164.34 
"CHV Unleaded,Self Serve,Cash",$3.00 ,"29,616","$88,819.25 ",31.18%,$0.00 ,$548.85 ,"$88,270.40 "
"CHV Unleaded,Self Serve,Cash",$3.00 ,22,$65.55 ,0.02%,$0.00 ,$0.00 ,$65.55 
"CHV Unleaded,Self Serve,Cash",$3.02 ,0,$0.61 ,0.00%,$0.00 ,$0.00 ,$0.61 
REGULAR - GRADE Subtotal, ,"37,002","$110,394.48 ",38.75%,$0.00 ,$604.84 ,"$109,789.64 "
MOTOR FUEL Subtotal, ,"64,035","$195,654.25 ",68.68%,$0.00 ,$604.84 ,"$195,049.41 "
FUEL PRODUCTS Subtotal, ,"64,035","$195,654.25 ",68.68%,$0.00 ,$604.84 ,"$195,049.41 "
NON-FOOD PRODUCTS, , , , , , , 
AUTO PRODUCTS, , , , , , , 
BRAKE OIL, , , , , , , 
"STP HD BRAKE FLD 12 PL,  Each",$3.69 ,1,$3.69 ,0.00%,$0.00 ,$0.00 ,$3.69 
BRAKE OIL Subtotal, ,1,$3.69 ,0.00%,$0.00 ,$0.00 ,$3.69 
ENGINE OIL, , , , , , , 
"CHVRN HAV HIMG SYN OW-20,  Each",$10.09 ,2,$20.18 ,0.01%,$0.00 ,$0.00 ,$20.18 
"HAV HIGH MLG 10W30 OIL,  Each",$7.59 ,3,$22.77 ,0.01%,$0.00 ,$0.00 ,$22.77 
"HAV HIMI MR OIL 5W30 EA,  Each",$7.59 ,8,$60.72 ,0.02%,$0.00 ,$0.00 ,$60.72 
"HAV MOTOR OIL 12/5W20,  Each",$7.09 ,3,$21.27 ,0.01%,$0.00 ,$7.09 ,$14.18 
"HAV SYNTHETIC 5W30 EA,  Each",$10.69 ,2,$21.38 ,0.01%,$0.00 ,$0.00 ,$21.38 
"HAVOLINE SYNTHETIC 10W30,  Each",$10.69 ,4,$42.76 ,0.02%,$0.00 ,$0.00 ,$42.76 
"TX HAV MTR OIL 10W30 QT,  Each",$7.09 ,8,$56.72 ,0.02%,$0.00 ,$0.00 ,$56.72 
"TX HAV MTR OIL 20W50 QT,  Each",$7.09 ,1,$7.09 ,0.00%,$0.00 ,$0.00 ,$7.09 
"TX HAV MTR OIL SAE 5W30 Q,  Each",$7.09 ,3,$21.27 ,0.01%,$0.00 ,$0.00 ,$21.27 
ENGINE OIL Subtotal, ,34,$274.16 ,0.10%,$0.00 ,$7.09 ,$267.07 
INTERIOR CLEANING/AIR FRESHENER, , , , , , , 
"ARMOR ALL PROTECTANT 10,  Each",$6.09 ,1,$6.09 ,0.00%,$0.00 ,$0.00 ,$6.09 
"LIL TREE BLACK ICE 2PK,  Each",$2.19 ,3,$6.57 ,0.00%,$0.00 ,$0.00 ,$6.57 
"LIL TREE VAN 2 PK,  Each",$2.19 ,10,$21.90 ,0.01%,$0.00 ,$0.00 ,$21.90 
INTERIOR CLEANING/AIR FRESHENER Subtotal, ,14,$34.56 ,0.01%,$0.00 ,$0.00 ,$34.56 
OTHER AUTO REPAIR PARTS/ PRODUCTS, , , , , , , 
"BRIGGS STRTN GAS CN 1GAL,  Each",$13.09 ,3,$39.27 ,0.01%,$0.00 ,$0.00 ,$39.27 
"BRIGGS STRTN GAS CN 2GAL,  Each",$16.09 ,3,$48.27 ,0.02%,$0.00 ,$0.00 ,$48.27 
"CVLT BOOSTER CBL EA,  Each",$13.99 ,1,$13.99 ,0.00%,$0.00 ,$0.00 ,$13.99 
"CVLT ELCTR TAPE 3/4X360IN,  Each",$1.99 ,2,$3.98 ,0.00%,$0.00 ,$0.00 ,$3.98 
"CVLT TIRE RPR KT EA,  Each",$3.49 ,2,$6.98 ,0.00%,$0.00 ,$0.00 ,$6.98 
OTHER AUTO REPAIR PARTS/ PRODUCTS Subtotal, ,11,$112.49 ,0.04%,$0.00 ,$0.00 ,$112.49 
OTHER LUBES/OILS/ANTI-CORROSIVES, , , , , , , 
"HAV PWR STEER FLD QT PL,  Each",$7.09 ,1,$7.09 ,0.00%,$0.00 ,$0.00 ,$7.09 
OTHER LUBES/OILS/ANTI-CORROSIVES Subtotal, ,1,$7.09 ,0.00%,$0.00 ,$0.00 ,$7.09 
PERFORMANCE, , , , , , , 
"CHVRN TCHRN FL INJ 12Z,  Each",$7.09 ,1,$7.09 ,0.00%,$0.00 ,$0.00 ,$7.09 
"CHVRN TECHRON CONC 12,  Each",$10.09 ,3,$30.27 ,0.01%,$0.00 ,$0.00 ,$30.27 
"CHVRN TECHRON CONC 20,  Each",$13.79 ,2,$27.58 ,0.01%,$0.00 ,$0.00 ,$27.58 
"STP GAS TREATMENT,  Each",$3.69 ,1,$3.69 ,0.00%,$0.00 ,$0.00 ,$3.69 
PERFORMANCE Subtotal, ,7,$68.63 ,0.02%,$0.00 ,$0.00 ,$68.63 
SPRAY LUBRICANTS, , , , , , , 
"WD-40 SMART STRAW 8Z,  Each",$6.99 ,1,$6.99 ,0.00%,$0.00 ,$0.00 ,$6.99 
SPRAY LUBRICANTS Subtotal, ,1,$6.99 ,0.00%,$0.00 ,$0.00 ,$6.99 
TIRE REPAIR PRODUCTS, , , , , , , 
"GUNK PNCTR SL W/HOSE 18,  Each",$8.59 ,2,$17.18 ,0.01%,$0.00 ,$0.00 ,$17.18 
TIRE REPAIR PRODUCTS Subtotal, ,2,$17.18 ,0.01%,$0.00 ,$0.00 ,$17.18 
TRANSMISSION OIL, , , , , , , 
"HAV ATF MD-3 QT,  Each",$6.09 ,3,$18.27 ,0.01%,$0.00 ,$0.00 ,$18.27 
"HAV MULTI VEHCL ATF EA,  Each",$7.29 ,1,$7.29 ,0.00%,$0.00 ,$0.00 ,$7.29 
TRANSMISSION OIL Subtotal, ,4,$25.56 ,0.01%,$0.00 ,$0.00 ,$25.56 
WINDSHIELD WASH, , , , , , , 
"ALL WEATHER -20 WNDSHL GA,  Each",$4.99 ,1,$4.99 ,0.00%,$0.00 ,$0.00 ,$4.99 
WINDSHIELD WASH Subtotal, ,1,$4.99 ,0.00%,$0.00 ,$0.00 ,$4.99 
AUTO PRODUCTS Subtotal, ,76,$555.34 ,0.19%,$0.00 ,$7.09 ,$548.25 
GENERAL MERCHANDISE, , , , , , , 
FULL SIZE ALKALINE BATTERIES, , , , , , , 
"ENERGIZER AA 4PK,  Each",$6.29 ,1,$6.29 ,0.00%,$0.00 ,$0.00 ,$6.29 
FULL SIZE ALKALINE BATTERIES Subtotal, ,1,$6.29 ,0.00%,$0.00 ,$0.00 ,$6.29 
GLOVES AND SCARFS, , , , , , , 
"W-F LATEX DIPPED GLOVE,  Each",$3.99 ,2,$7.98 ,0.00%,$0.00 ,$0.00 ,$7.98 
GLOVES AND SCARFS Subtotal, ,2,$7.98 ,0.00%,$0.00 ,$0.00 ,$7.98 
HATS/CAPS/VISORS/BANDANNAS, , , , , , , 
"PUGS VISOR CLIP,  Each",$4.99 ,3,$14.97 ,0.01%,$0.00 ,$0.00 ,$14.97 
HATS/CAPS/VISORS/BANDANNAS Subtotal, ,3,$14.97 ,0.01%,$0.00 ,$0.00 ,$14.97 
OTHER ELECTRONICS RELATED PRODUCTS, , , , , , , 
"PUGS 3.1A DL USB CR CHRG,  Each",$9.99 ,9,$89.91 ,0.03%,$0.00 ,$0.00 ,$89.91 
"PUGS 4 PRT WALL CHRGR,  Each",$24.99 ,1,$24.99 ,0.01%,$0.00 ,$0.00 ,$24.99 
"PUGS 6 FT 8PIN CABLE,  Each",$19.99 ,3,$59.97 ,0.02%,$0.00 ,$0.00 ,$59.97 
"PUGS 6 FT TYPE C CABLE,  Each",$14.99 ,3,$44.97 ,0.02%,$0.00 ,$0.00 ,$44.97 
"PUGS 8P CHRG/SYN CBL,  Each",$16.99 ,12,$203.88 ,0.07%,$0.00 ,$0.00 ,$203.88 
"PUGS AUDIO CABLE BULK,  Each",$8.99 ,5,$44.95 ,0.02%,$0.00 ,$0.00 ,$44.95 
"PUGS DL USB CR CHRGR$6.99,  Each",$6.99 ,1,$6.99 ,0.00%,$0.00 ,$0.00 ,$6.99 
"PUGS EARBUDS BULK,  Each",$8.99 ,1,$8.99 ,0.00%,$0.00 ,$0.00 ,$8.99 
"PUGS MCR USB CBL BX,  Each",$8.99 ,3,$26.97 ,0.01%,$0.00 ,$0.00 ,$26.97 
"PUGS SR TYPE C USB CABLE,  Each",$17.99 ,1,$17.99 ,0.01%,$0.00 ,$0.00 ,$17.99 
"PUGS TYPE C BULK $12.99,  Each",$12.99 ,6,$77.94 ,0.03%,$0.00 ,$0.00 ,$77.94 
"PUGS WRLSS EARBUD BLACK,  Each",$24.99 ,1,$24.99 ,0.01%,$0.00 ,$0.00 ,$24.99 
"PUGS WRLSS EARBUD WHITE,  Each",$24.99 ,1,$24.99 ,0.01%,$0.00 ,$0.00 ,$24.99 
"PUGS WRLSS EARBUDS,  Each",$14.99 ,2,$29.98 ,0.01%,$0.00 ,$0.00 ,$29.98 
OTHER ELECTRONICS RELATED PRODUCTS Subtotal, ,49,$687.51 ,0.24%,$0.00 ,$0.00 ,$687.51 
OTHER GENERAL MERCHANDISE (GM), , , , , , , 
"PUGS BLUE EAR BUD MIC EA,  Each",$16.99 ,1,$16.99 ,0.01%,$0.00 ,$0.00 ,$16.99 
OTHER GENERAL MERCHANDISE (GM) Subtotal, ,1,$16.99 ,0.01%,$0.00 ,$0.00 ,$16.99 
SUNGLASSES, , , , , , , 
"PUGS A12 ACTV SPRT 14.99,  Each",$14.99 ,1,$14.99 ,0.01%,$0.00 ,$0.00 ,$14.99 
"PUGS C4 CLASSIC SG 12.99,  Each",$12.99 ,1,$12.99 ,0.00%,$0.00 ,$0.00 ,$12.99 
"PUGS C8 CLASSIC SG 12.99,  Each",$12.99 ,1,$12.99 ,0.00%,$0.00 ,$0.00 ,$12.99 
"PUGS L10 LIFESTYLE SG 14.99,  Each",$14.99 ,1,$14.99 ,0.01%,$0.00 ,$0.00 ,$14.99 
"PUGS L12 LFSTYL SG 12.99,  Each",$12.99 ,2,$25.98 ,0.01%,$0.00 ,$0.00 ,$25.98 
"PUGS L2 LIFESTYLE SG 19.99,  Each",$19.99 ,1,$19.99 ,0.01%,$0.00 ,$0.00 ,$19.99 
"PUGS M10 METAL 14.99,  Each",$14.99 ,1,$14.99 ,0.01%,$0.00 ,$0.00 ,$14.99 
"PUGS T2 TREND SG 14.99,  Each",$14.99 ,1,$14.99 ,0.01%,$0.00 ,$0.00 ,$14.99 
"PUGS T4 TREND SG 14.99,  Each",$14.99 ,1,$14.99 ,0.01%,$0.00 ,$0.00 ,$14.99 
SUNGLASSES Subtotal, ,10,$146.90 ,0.05%,$0.00 ,$0.00 ,$146.90 
GENERAL MERCHANDISE Subtotal, ,66,$880.64 ,0.31%,$0.00 ,$0.00 ,$880.64 
HEALTH AND BEAUTY, , , , , , , 
ANTACIDS/LAXATIVES, , , , , , , 
"ROLAIDS UL STRNG FRT 10PC,  Each",$1.59 ,1,$1.59 ,0.00%,$0.00 ,$0.00 ,$1.59 
"TUMS ASST BRRY EA,  Each",$1.29 ,6,$7.74 ,0.00%,$0.00 ,$0.00 ,$7.74 
"TUMS ULTRA-ASST BRRY 12,  Each",$1.59 ,2,$3.18 ,0.00%,$0.00 ,$0.00 ,$3.18 
ANTACIDS/LAXATIVES Subtotal, ,9,$12.51 ,0.00%,$0.00 ,$0.00 ,$12.51 
COLD AND COUGH MEDICINE, , , , , , , 
"CVLT DYQL CLD&FL 4PC EA,  Each",$3.09 ,4,$12.36 ,0.00%,$0.00 ,$0.00 ,$12.36 
"HALLS STK DFNS CTRS 9PC,  Each",$1.39 ,3,$4.17 ,0.00%,$0.00 ,$0.00 ,$4.17 
"HALLS STK HNY/LMN 9PC,  Each",$1.39 ,2,$2.78 ,0.00%,$0.00 ,$0.00 ,$2.78 
"HALLS STK MTL EUCLYPT 9PC,  Each",$1.39 ,1,$1.39 ,0.00%,$0.00 ,$0.00 ,$1.39 
"HALLS STK MTL XT STR 9PC,  Each",$1.39 ,1,$1.39 ,0.00%,$0.00 ,$0.00 ,$1.39 
"HALLS STK STRW 9PC,  Each",$1.39 ,2,$2.78 ,0.00%,$0.00 ,$0.00 ,$2.78 
COLD AND COUGH MEDICINE Subtotal, ,13,$24.87 ,0.01%,$0.00 ,$0.00 ,$24.87 
CONDOMS, , , , , , , 
"TROJAN BARESKIN 3PK,  Each",$4.99 ,3,$14.97 ,0.01%,$0.00 ,$0.00 ,$14.97 
"TROJAN MAGNUM ULTRA THIN,  Each",$4.99 ,4,$19.96 ,0.01%,$0.00 ,$0.00 ,$19.96 
"TROJAN-ENZ VERY THIN ,  Each",$4.99 ,3,$14.97 ,0.01%,$0.00 ,$0.00 ,$14.97 
CONDOMS Subtotal, ,10,$49.90 ,0.02%,$0.00 ,$0.00 ,$49.90 
EYE CARE SUPPLIES, , , , , , , 
